Unnamed: 0,Name,Price,Rating,Benefits,Location,HotelID
23,Liberty Central Saigon Riverside Hotel,1843743.0,8.6,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,24
24,Eden Star Saigon Hotel,1536882.0,8.4,"Bữa sáng, Free mini bar, Vào hồ bơi miễn phí",Đà Nẵng,25
25,The Myst Dong Khoi,2626741.0,8.9,"Bữa sáng, Wifi miễn phí",Đà Nẵng,26
26,Dong Kinh Hotel,314253.0,8.2,"Nước uống chào đón, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,27
27,The Concept Hotel HCMC- District 1,956667.0,8.7,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,28
28,Erato Boutique Hotel,395547.0,7.5,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,29
29,Grandma Lu Saigon Hawaii - Pham Ngu Lao Street,102867.0,8.1,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,30
30,Silverland Sil Hotel,1057099.0,8.2,"Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,31
31,Fusion Suites Saigon,1990727.0,8.9,"Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,32
32,CityHouse - City Oasis,891915.0,8.2,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,33
33,VyDa Backpacker Hostel,104861.0,8.7,"Bãi đậu xe, Wifi miễn phí, Nhận phòng sớm",Đà Nẵng,34
34,Cozrum Lux Hotel,580346.0,7.8,"Phòng tập miễn phí, Nước uống chào đón",Đà Nẵng,35
35,The One Premium Hotel,440519.0,6.9,"Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,36
36,Minh Tam Hotel & Spa 3/2,761905.0,8.0,"Bữa sáng, Nước uống chào đón, Bãi đậu xe, Wifi miễn phí",Đà Nẵng,37
37,Lancaster Saigon Serviced Apartments Le Thanh Ton,1165545.0,8.1,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,38
38,Leaf Signature Hotel - La Group,808857.0,8.5,"Bữa sáng, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng,39
39,Minh Tam Hotel and Spa,430222.0,7.6,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,40
40,The Lumiere,341358.0,7.9,"Bữa sáng, Nước uống chào đón, Free mini bar",Đà Nẵng,41
41,The Hammock Hotel Fine Arts Museum,1069036.0,9.1,"Bữa sáng, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng,42
